code,description,level
1120.01.39,"Gerente general, empresa / enseñanza (10 empleados y más)",8
1120.01.40,"Gerente general, empresa / hotelería (10 empleados y más)",8
1120.01.41,"Gerente general, empresa / industrias manufactureras (10 empleados y más)",8
1120.01.42,"Gerente general, empresa / intermediación financiera (10 empleados y más) (bancos comerciales)",8
1120.01.43,"Gerente general, empresa / limpieza (10 empleados y más)",8
1120.01.44,"Gerente general, empresa / pesca (10 empleados y más)",8
1120.01.45,"Gerente general, empresa / restaurantes (10 empleados y más)",8
1120.01.46,"Gerente general, empresa / servicios a las empresas (10 empleados y más)",8
1120.01.47,"Gerente general, empresa / servicios de sanidad (10 empleados y más)",8
1120.01.48,"Gerente general, empresa / silvicultura (10 empleados y más)",8
1120.01.49,"Gerente general, empresa / trabajo social (10 empleados y más)",8
1120.01.50,"Gerente general, empresa / transporte (10 empleados y más)",8
1120.02,"Subdirectores generales y Subgerentes generales de Empresas",6
1120.02.01,"Subdirector general, empresa / actividades culturales (10 empleados y más)",8
1120.02.02,"Subdirector general, empresa / actividades deportivas (10 empleados y más)",8
1120.02.03,"Subdirector general, empresa / actividades recreativas (10 empleados y más)",8
1120.02.04,"Subdirector general, empresa / agencia de viajes (10 empleados y más)",8
1120.02.05,"Subdirector general, empresa / agricultura (10 empleados y más)",8
1120.02.06,"Subdirector general, empresa / almacenamiento (10 empleados y más)",8
1120.02.07,"Subdirector general, empresa / caza (10 empleados y más)",8
1120.02.08,"Subdirector general, empresa / comercio mayorista (10 empleados y más)",8
1120.02.09,"Subdirector general, empresa / comercio minorista (10 empleados y más)",8
1120.02.10,"Subdirector general, empresa / comunicaciones (10 empleados y más)",8
1120.02.11,"Subdirector general, empresa / construcción y obras públicas (10 empleados y más)",8
1120.02.12,"Subdirector general, empresa / cuidados personales (10 empleados y más)",8
1120.02.13,"Subdirector general, empresa / enseñanza (10 empleados y más)",8
1120.02.14,"Subdirector general, empresa / explotación forestal (10 empleados y más)",8
1120.02.15,"Subdirector general, empresa / hostelería (10 empleados y más)",8
1120.02.16,"Subdirector general, empresa / industrias manufactureras (10 empleados y más)",8
1120.02.17,"Subdirector general, empresa / intermediación financiera (10 empleados y más)",8
1120.02.18,"Subdirector general, empresa / limpieza (10 empleados y más)",8
1120.02.19,"Subdirector general, empresa / pesca (10 empleados y más)",8
1120.02.20,"Subdirector general, empresa / restaurantes (10 empleados y más)",8
1120.02.21,"Subdirector general, empresa / servicios a las empresas (10 empleados y más)",8
1120.02.22,"Subdirector general, empresa / servicios de sanidad (10 empleados y más)",8
1120.02.23,"Subdirector general, empresa / silvicultura (10 empleados y más)",8
1120.02.24,"Subdirector general, empresa / trabajo social (10 empleados y más)",8
1120.02.25,"Subdirector general, empresa / transporte (10 empleados y más)",8
1120.02.26,"Subgerente general, empresa / actividades culturales (10 empleados y más)",8
1120.02.27,"Subgerente general, empresa / actividades deportivas (10 empleados y más)",8
1120.02.28,"Subgerente general, empresa / actividades recreativas (10 empleados y más)",8
1120.02.29,"Subgerente general, empresa / agencia de viajes (10 empleados y más)",8
1120.02.30,"Subgerente general, empresa / agricultura (10 empleados y más)",8
1120.02.31,"Subgerente general, empresa / almacenamiento (10 empleados y más)",8
1120.02.32,"Subgerente general, empresa/caza (10 empleados y más)",8
1120.02.33,"Subgerente general, empresa / comercio mayorista (10 empleados y más)",8
1120.02.34,"Subgerente general, empresa / comercio minorista (10 empleados y más)",8
1120.02.35,"Subgerente general, empresa / comunicaciones (10 empleados y más)",8
1120.02.36,"Subgerente general, empresa / construcción y obras públicas (10 empleados y más)",8
1120.02.37,"Subgerente general, empresa / cuidados personales (10 empleados y más)",8
1120.02.38,"Subgerente general, empresa / enseñanza (10 empleados y más)",8
1120.02.39,"Subgerente general, empresa /hotelería (10 empleados y más)",8
1120.02.40,"Subgerente general, empresa / industrias manufactureras (10 empleados y más)",8
1120.02.41,"Subgerente general, empresa / intermediación financiera (10 empleados y más)",8
1120.02.42,"Subgerente general, empresa / limpieza (10 empleados y más)",8
1120.02.43,"Subgerente general, empresa / pesca (10 empleados y más)",8
1120.02.44,"Subgerente general, empresa / restaurantes (10 empleados y más)",8
1120.02.45,"Subgerente general, empresa / servicios a las empresas (10 empleados y más)",8
1120.02.46,"Subgerente general, empresa / servicios de sanidad (10 empleados y más)",8
1120.02.47,"Subgerente general, empresa / silvicultura (10 empleados y más)",8
1120.02.48,"Subgerente general, empresa / trabajo social (10 empleados y más)",8
1120.02.49,"Subgerente general, empresa / transporte (10 empleados y más)",8
1120.03,"Directores generales y gerentes generales de organización",6
1120.03.01,"Director general, organización (10 empleados y más)",8
1120.03.02,"Director general, organización / actividades culturales (10 empleados y más)",8
1120.03.03,"Director general, organización / actividades deportivas (10 empleados y más)",8
1120.03.04,"Director general, organización / actividades recreativas (10 empleados y más)",8
1120.03.05,"Director general, organización / administración pública (10 empleados y más)",8
1120.03.06,"Director general, organización / caza (10 empleados y más)",8
1120.03.07,"Director general, organización / comercio mayorista (10 empleados y más)",8
1120.03.08,"Director general, organización / comercio minorista (10 empleados y más)",8
1120.03.09,"Director general, organización / educación (10 empleados y más)",8
1120.03.10,"Director general, organización / enseñanza (10 empleados y más)",8
1120.03.11,"Director general, organización / hostelería (10 empleados y más)",8
1120.03.12,"Director general, organización / instituciones extraterritoriales (10 empleados y más)",8
1120.03.13,"Director general, organización / ocio (10 empleados y más)",8
1120.03.14,"Director general, organización / pesca (10 empleados y más)",8
1120.03.15,"Director general, organización / restaurantes (10 empleados y más)",8
1120.03.16,"Director general, organización / salud (hospital....) (10 empleados y más)",8
1120.03.17,"Director general, organización / silvicultura (10 empleados y más)",8
1120.03.18,"Director general, organización / trabajo social (10 empleados y más)",8
1120.03.19,"Director general, organización / transporte (10 empleados y más)",8
1120.03.20,"Gerente general, organización (10 empleados y más)",8
1120.03.21,"Gerente general, organización / actividades culturales (10 empleados y más)",8
1120.03.22,"Gerente general, organización / actividades deportivas (10 empleados y más)",8
1120.03.23,"Gerente general, organización / actividades recreativas (10 empleados y más)",8
1120.03.24,"Gerente general, organización / administración pública (10 empleados y más)",8
1120.03.25,"Gerente general, organización / caza (10 empleados y más)",8
1120.03.26,"Gerente general, organización / comercio mayorista (10 empleados y más)",8
1120.03.27,"Gerente general, organización / comercio minorista (10 empleados y más)",8
1120.03.28,"Gerente general, organización / educación (10 empleados y más)",8
1120.03.29,"Gerente general, organización / enseñanza (10 empleados y más)",8
1120.03.30,"Gerente general, organización / hostelería (10 empleados y más)",8
1120.03.31,"Gerente general, organización / instituciones extraterritoriales (10 empleados y más)",8
1120.03.32,"Gerente general, organización / pesca (10 empleados y más)",8
1120.03.33,"Gerente general, organización / restaurantes (10 empleados y más)",8
1120.03.34,"Gerente general, organización / servicios de sanidad (10 empleados y más)",8
1120.03.35,"Gerente general, organización / silvicultura (10 empleados y más)",8
1120.03.36,"Gerente general, organización / trabajo social (10 empleados y más)",8
1120.03.37,"Gerente general, organización / transporte (10 empleados y más)",8
1120.03.38,"Presidente, empresa (10 empleados y más)",8
1120.03.39,"Presidente, organización (10 empleados y más)",8
1120.04,"Subdirectores generales y Subgerentes generales de organización",6
1120.04.01,"Subdirector general, organización (10 empleados y más)",8
1120.04.02,"Subdirector general, organización / actividades culturales (10 empleados y más)",8
1120.04.03,"Subdirector general, organización / actividades deportivas (10 empleados y más)",8
1120.04.04,"Subdirector general, organización / actividades recreativas (10 empleados y más)",8
1120.04.05,"Subdirector general, organización / administración pública (10 empleados y más)",8
1120.04.06,"Subdirector general, organización / caza (10 empleados y más)",8
1120.04.07,"Subdirector general, organización / comercio mayorista (10 empleados y más)",8
1120.04.08,"Subdirector general, organización / comercio minorista (10 empleados y más)",8
1120.04.09,"Subdirector general, organización / educación (10 empleados y más)",8
1120.04.10,"Subdirector general, organización / enseñanza (10 empleados y más)",8
1120.04.11,"Subdirector general, organización / hotelería (10 empleados y más)",8
1120.04.12,"Subdirector general, organización / instituciones extraterritoriales (10 empleados y más)",8
1120.04.13,"Subdirector general, organización / ocio (10 empleados y más)",8
1120.04.14,"Subdirector general, organización / pesca (10 empleados y más)",8
1120.04.15,"Subdirector general, organización / restaurantes (10 empleados y más)",8
