"CONSECUTIVO","LETRA","CATALOG_KEY","NO. CARACTERES","NOMBRE","CODIGOX","LSEX","LINF","LSUP","TRIVIAL","ERRADICADO","N_INTER","NIN","NINMTOBS","COD_SIT_LESION","NO_CBD","CBD","NO_APH","AF_PRIN","DIA_SIS","CLAVE_PROGRAMA_SIS","COD_COMPLEMEN_MORBI","DIA_FETAL","DEF_FETAL_CM","DEF_FETAL_CBD","CLAVE_CAPITULO","CAPITULO","LISTA1","GRUPO1","LISTA5","RUBRICA_TYPE","YEAR_MODIFI","YEAR_APLICACION","VALID","PRINMORTA","PRINMORBI","LM_MORBI","LM_MORTA","LGBD165","LOMSBECK","LGBD190","NOTDIARIA","NOTSEMANAL","SISTEMA_ESPECIAL","BIRMM","CVE_CAUSA_TYPE","CAUSA_TYPE","EPI_MORTA","EDAS_E_IRAS_EN_M5","CVE_MATERNAS-SEED-EPID","EPI_MORTA_M5","EPI_MORBI","DEF_MATERNAS","ES_CAUSES","NUM_CAUSES","ES_SUIVE_MORTA","ES_SUIVE_MORB","EPI_CLAVE","EPI_CLAVE_DESC","ES_SUIVE_NOTIN","ES_SUIVE_EST_EPI","ES_SUIVE_EST_BROTE","SINAC","PRIN_SINAC","PRIN_SINAC_GRUPO","DESCRIPCION_SINAC_GRUPO","PRIN_SINAC_SUBGRUPO","DESCRIPCION_SINAC_SUBGRUPO","DAGA","ASTERISCO","PRIN_MM","PRIN_MM_GRUPO","DESCRIPCION_MM_GRUPO","PRIN_MM_SUBGRUPO","DESCRIPCION_MM_SUBGRUPO","COD_ADI_MORT"
"7004","O","O961","4","MUERTE POR CAUSA OBSTÉTRICA INDIRECTA QUE OCURRE DESPUÉS DE 42 DÍAS PERO ANTES DE UN AÑO DEL PARTO","NO","MUJER","010A","054A","NO","NO","NO","NO","SI","NO","NO","SI","SI","NO","NO","NA","NO","NO","NO","NO","XV","EMBARAZO, PARTO Y PUERPERIO","091","087","244","A","2010 NUEVA CATEGORIA","2014","SI","157","NO","NO","4543","49","54","999","NO","NO","NO","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","NO","NO","NO","NO","NO","111","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI","11","MUERTES MATERNAS TARDÍAS Y POR SECUELAS","111","MUERTES MATERNAS TARDÍAS","SI"
"7005","O","O969","4","MUERTE POR CAUSA OBSTÉTRICA NO ESPECIFICADA, QUE OCURRE DESPUÉS DE 42 DÍAS PERO ANTES DE UN AÑO DEL PARTO","NO","MUJER","010A","054A","NO","NO","NO","NO","SI","NO","NO","SI","SI","NO","NO","NA","NO","NO","NO","NO","XV","EMBARAZO, PARTO Y PUERPERIO","091","087","244","A","2010 NUEVA CATEGORIA","2014","SI","157","NO","NO","4543","49","54","999","NO","NO","NO","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","NO","NO","NO","NO","NO","111","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI","11","MUERTES MATERNAS TARDÍAS Y POR SECUELAS","111","MUERTES MATERNAS TARDÍAS","SI"
"7006","O","O96X","4","MUERTE MATERNA DEBIDA A CUALQUIER CAUSA OBSTÉTRICA QUE OCURRE DESPUÉS DE 42 DÍAS PERO ANTES DE UN AÑO DEL PARTO","SI","MUJER","010A","054A","NO","NO","NO","NO","SI","NO","NO","SI","SI","NO","NO","NA","NO","NO","NO","NO","XV","EMBARAZO, PARTO Y PUERPERIO","091","087","244","B","CAMBIO LA X POR CATEGORIAS}","2014","NO","157","NO","NO","4543","49","54","999","NO","NO","NO","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","NO","NO","NO","NO","NO","111","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI","11","MUERTES MATERNAS TARDÍAS Y POR SECUELAS","111","MUERTES MATERNAS TARDÍAS","NO"
"7007","O","O97","3","MUERTE POR SECUELAS DE CAUSAS OBSTÉTRICAS","NO","MUJER","010A","054A","NO","NO","NO","NO","SI","NO","SI","NO","SI","NO","NO","NA","NO","NO","NO","NO","XV","EMBARAZO, PARTO Y PUERPERIO","091","087","244","A","CAMBIO LA X POR CATEGORIAS}","2014","NO","157","NO","NO","4543","NO","54","NO","NO","NO","NO","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","NO","NO","NO","NO","NO","112","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"7008","O","O970","4","MUERTE POR SECUELAS DE CAUSA OBSTÉTRICA DIRECTA","NO","MUJER","010A","054A","NO","NO","NO","NO","SI","NO","NO","SI","SI","NO","NO","NA","NO","NO","NO","NO","XV","EMBARAZO, PARTO Y PUERPERIO","091","087","244","A","2010 NUEVA CATEGORIA","2014","SI","157","NO","NO","4543","49","54","999","NO","NO","NO","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","NO","NO","NO","NO","NO","112","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI","11","MUERTES MATERNAS TARDÍAS Y POR SECUELAS","112","MUERTES MATERNAS POR SECUELAS","SI"
"7009","O","O971","4","MUERTE POR SECUELAS DE CAUSA OBSTÉTRICA INDIRECTA","NO","MUJER","010A","054A","NO","NO","NO","NO","SI","NO","NO","SI","SI","NO","NO","NA","NO","NO","NO","NO","XV","EMBARAZO, PARTO Y PUERPERIO","091","087","244","A","2010 NUEVA CATEGORIA","2014","SI","157","NO","NO","4543","49","54","999","NO","NO","NO","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","NO","NO","NO","NO","NO","112","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI","11","MUERTES MATERNAS TARDÍAS Y POR SECUELAS","112","MUERTES MATERNAS POR SECUELAS","SI"
"7010","O","O979","4","MUERTE POR SECUELAS DE CAUSA OBSTÉTRICA NO ESPECIFICADA","NO","MUJER","010A","054A","NO","NO","NO","NO","SI","NO","NO","SI","SI","NO","NO","NA","NO","NO","NO","NO","XV","EMBARAZO, PARTO Y PUERPERIO","091","087","244","A","2010 NUEVA CATEGORIA","2014","SI","157","NO","NO","4543","49","54","999","NO","NO","NO","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","NO","NO","NO","NO","NO","112","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI","11","MUERTES MATERNAS TARDÍAS Y POR SECUELAS","112","MUERTES MATERNAS POR SECUELAS","SI"
"7011","O","O97X","4","MUERTE POR SECUELAS DE CAUSAS OBSTÉTRICAS DIRECTAS","SI","MUJER","010A","054A","NO","NO","NO","NO","SI","NO","NO","SI","SI","NO","NO","NA","NO","NO","NO","NO","XV","EMBARAZO, PARTO Y PUERPERIO","091","087","244","B","CAMBIO LA X POR CATEGORIAS}","2014","NO","157","NO","NO","4543","49","54","999","NO","NO","NO","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","NO","NO","NO","NO","NO","112","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI","11","MUERTES MATERNAS TARDÍAS Y POR SECUELAS","112","MUERTES MATERNAS POR SECUELAS","NO"
"7012","O","O98","3","ENFERMEDADES MATERNAS INFECCIOSAS Y PARASITARIAS CLASIFICABLES EN OTRA PARTE, PERO QUE COMPLICAN EL EMBARAZO, EL PARTO Y EL PUERPERIO","NO","MUJER","010A","054A","NO","NO","NO","NO","SI","NO","SI","NO","SI","NO","NO","NA","NO","NO","NO","NO","XV","EMBARAZO, PARTO Y PUERPERIO","090","087","244","NO","NO","NO","NO","157","162","NO","NO","NO","54","NO","NO","NO","NO","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","NO","NO","NO","NO","NO","101","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"7013","O","O980","4","TUBERCULOSIS QUE COMPLICA EL EMBARAZO, EL PARTO Y EL PUERPERIO","NO","MUJER","010A","054A","NO","NO","NO","NO","SI","NO","NO","SI","NO","SI","SI","3","NO","NO","NO","NO","XV","EMBARAZO, PARTO Y PUERPERIO","090","087","244","NO","NO","NO","SI","157","162","45","45","49","54","50","NO","NO","NO","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","NO","NO","NO","NO","NO","101","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI","10","CAUSAS OBSTÉTRICAS INDIRECTAS","101","CAUSAS OBSTÉTRICAS INDIRECTAS INFECCIOSAS","SI"
"7014","O","O981","4","SÍFILIS QUE COMPLICA EL EMBARAZO, EL PARTO Y EL PUERPERIO","NO","MUJER","010A","054A","NO","NO","NO","NO","SI","NO","NO","SI","NO","SI","SI","3","NO","NO","NO","NO","XV","EMBARAZO, PARTO Y PUERPERIO","090","087","244","NO","NO","NO","SI","157","162","45","45","49","54","50","NO","NO","NO","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","NO","NO","NO","NO","NO","101","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI","10","CAUSAS OBSTÉTRICAS INDIRECTAS","101","CAUSAS OBSTÉTRICAS INDIRECTAS INFECCIOSAS","SI"
"7015","O","O982","4","GONORREA QUE COMPLICA EL EMBARAZO, EL PARTO Y EL PUERPERIO","NO","MUJER","010A","054A","NO","NO","NO","NO","SI","NO","NO","SI","NO","SI","SI","3","NO","NO","NO","NO","XV","EMBARAZO, PARTO Y PUERPERIO","090","087","244","NO","NO","NO","SI","157","162","45","45","49","54","50","NO","NO","NO","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","NO","NO","NO","NO","NO","101","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI","10","CAUSAS OBSTÉTRICAS INDIRECTAS","101","CAUSAS OBSTÉTRICAS INDIRECTAS INFECCIOSAS","SI"
"7016","O","O983","4","OTRAS INFECCIONES CON UN MODO DE TRANSMISIÓN PREDOMINANTEMENTE SEXUAL QUE COMPLICAN EL EMBARAZO, PARTO Y PUERPERIO","NO","MUJER","010A","054A","NO","NO","NO","NO","SI","NO","NO","SI","NO","SI","SI","1","NO","NO","NO","NO","XV","EMBARAZO, PARTO Y PUERPERIO","090","087","244","NO","NO","NO","SI","157","162","45","45","49","54","50","NO","NO","NO","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","NO","NO","NO","NO","NO","101","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI","10","CAUSAS OBSTÉTRICAS INDIRECTAS","101","CAUSAS OBSTÉTRICAS INDIRECTAS INFECCIOSAS","SI"
"7017","O","O984","4","HEPATITIS VIRAL QUE COMPLICA EL EMBARAZO, EL PARTO Y EL PUERPERIO","NO","MUJER","010A","054A","NO","NO","NO","NO","SI","NO","NO","SI","NO","SI","SI","1","NO","NO","NO","NO","XV","EMBARAZO, PARTO Y PUERPERIO","090","087","244","NO","NO","NO","SI","157","162","45","45","49","54","50","NO","NO","NO","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","NO","NO","NO","NO","NO","101","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI","10","CAUSAS OBSTÉTRICAS INDIRECTAS","101","CAUSAS OBSTÉTRICAS INDIRECTAS INFECCIOSAS","SI"
"7018","O","O985","4","OTRAS ENFERMEDADES VIRALES QUE COMPLICAN EL EMBARAZO, EL PARTO Y EL PUERPERIO","NO","MUJER","010A","054A","NO","NO","NO","NO","SI","NO","NO","SI","NO","SI","SI","1","NO","NO","NO","NO","XV","EMBARAZO, PARTO Y PUERPERIO","090","087","244","NO","NO","NO","SI","157","162","45","45","49","54","50","NO","NO","NO","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","NO","NO","NO","NO","NO","101","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI","10","CAUSAS OBSTÉTRICAS INDIRECTAS","101","CAUSAS OBSTÉTRICAS INDIRECTAS INFECCIOSAS","SI"
"7019","O","O986","4","ENFERMEDADES CAUSADAS POR PROTOZOARIOS QUE COMPLICAN EL EMBARAZO, EL PARTO Y EL PUERPERIO","NO","MUJER","010A","054A","NO","NO","NO","NO","SI","NO","NO","SI","NO","SI","SI","1","NO","NO","NO","NO","XV","EMBARAZO, PARTO Y PUERPERIO","090","087","244","NO","NO","NO","SI","157","162","45","45","49","54","50","NO","NO","NO","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","NO","NO","NO","NO","NO","101","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI","10","CAUSAS OBSTÉTRICAS INDIRECTAS","101","CAUSAS OBSTÉTRICAS INDIRECTAS INFECCIOSAS","SI"
"7020","O","O987","4","ENFERMEDAD POR VIRUS DE LA INMUNODEFICIENCIA HUMANA [VIH] QUE COMPLICA EL EMBARAZO, EL PARTO Y EL PUERPERIO","NO","MUJER","010A","054A","NO","NO","NO","NO","SI","NO","NO","SI","NO","SI","SI","1","NO","NO","NO","NO","XV","EMBARAZO, PARTO Y PUERPERIO","090","087","244","A","2010 NUEVA CATEGORIA/2012 CAMBIO DE TITULO","2014","SI","157","162","45","45","49","54","50","NO","NO","NO","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","NO","NO","NO","NO","NO","101","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI","10","CAUSAS OBSTÉTRICAS INDIRECTAS","101","CAUSAS OBSTÉTRICAS INDIRECTAS INFECCIOSAS","SI"
"7021","O","O988","4","OTRAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS MATERNAS QUE COMPLICAN EL EMBARAZO, EL PARTO Y EL PUERPERIO","NO","MUJER","010A","054A","NO","NO","NO","NO","SI","NO","NO","SI","NO","SI","SI","1","NO","NO","NO","NO","XV","EMBARAZO, PARTO Y PUERPERIO","090","087","244","NO","NO","NO","SI","157","162","45","45","49","54","50","NO","NO","NO","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","NO","NO","NO","NO","NO","101","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI","10","CAUSAS OBSTÉTRICAS INDIRECTAS","101","CAUSAS OBSTÉTRICAS INDIRECTAS INFECCIOSAS","SI"
"7022","O","O989","4","ENFERMEDAD INFECCIOSA Y PARASITARIA MATERNA NO ESPECIFICADA QUE COMPLICA EL EMBARAZO, EL PARTO Y EL PUERPERIO","NO","MUJER","010A","054A","NO","NO","NO","NO","SI","NO","NO","SI","NO","SI","SI","1","NO","NO","NO","NO","XV","EMBARAZO, PARTO Y PUERPERIO","090","087","244","NO","NO","NO","SI","157","162","45","45","49","54","50","NO","NO","NO","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","NO","NO","NO","NO","NO","101","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI","10","CAUSAS OBSTÉTRICAS INDIRECTAS","101","CAUSAS OBSTÉTRICAS INDIRECTAS INFECCIOSAS","SI"
"7023","O","O99","3","OTRAS ENFERMEDADES MATERNAS CLASIFICABLES EN OTRA PARTE, PERO QUE COMPLICAN EL EMBARAZO, EL PARTO Y EL PUERPERIO","NO","MUJER","010A","054A","NO","NO","NO","NO","SI","NO","SI","NO","SI","NO","NO","NA","NO","NO","NO","NO","XV","EMBARAZO, PARTO Y PUERPERIO","090","087","244","NO","NO","NO","NO","157","162","NO","NO","NO","54","NO","NO","NO","NO","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","NO","NO","NO","NO","NO","102","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"7024","O","O990","4","ANEMIA QUE COMPLICA EL EMBARAZO, EL PARTO Y EL PUERPERIO","NO","MUJER","010A","054A","NO","NO","NO","NO","SI","NO","NO","SI","NO","SI","SI","3","NO","NO","NO","NO","XV","EMBARAZO, PARTO Y PUERPERIO","090","087","244","NO","NO","NO","SI","157","162","45","45","49","54","50","NO","NO","NO","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","NO","NO","NO","NO","NO","102","SI","28","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI","10","CAUSAS OBSTÉTRICAS INDIRECTAS","102","CAUSAS OBSTÉTRICAS INDIRECTAS NO INFECCIOSAS","SI"
"7025","O","O991","4","OTRAS ENFERMEDADES DE LA SANGRE Y ÓRGANOS HEMATOPOYÉTICOS Y CIERTOS TRASTORNOS QUE AFECTAN EL SISTEMA INMUNITARIO CUANDO COMPLICAN EL EMBARAZO, EL PARTO Y PUERPERIO","NO","MUJER","010A","054A","NO","NO","NO","NO","SI","NO","NO","SI","NO","SI","SI","3","NO","NO","NO","NO","XV","EMBARAZO, PARTO Y PUERPERIO","090","087","244","NO","NO","NO","SI","157","162","45","45","49","54","50","NO","NO","NO","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","NO","NO","NO","NO","NO","102","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI","10","CAUSAS OBSTÉTRICAS INDIRECTAS","102","CAUSAS OBSTÉTRICAS INDIRECTAS NO INFECCIOSAS","SI"
"7026","O","O992","4","ENFERMEDADES ENDOCRINAS, DE LA NUTRICIÓN Y DEL METABOLISMO QUE COMPLICAN EL EMBARAZO, EL PARTO Y EL PUERPERIO","NO","MUJER","010A","054A","NO","NO","NO","NO","SI","NO","NO","SI","NO","SI","SI","3","NO","NO","NO","NO","XV","EMBARAZO, PARTO Y PUERPERIO","090","087","244","NO","NO","NO","SI","157","162","45","45","49","54","50","NO","NO","NO","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","NO","NO","NO","NO","NO","102","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI","10","CAUSAS OBSTÉTRICAS INDIRECTAS","102","CAUSAS OBSTÉTRICAS INDIRECTAS NO INFECCIOSAS","SI"
"7027","O","O993","4","TRASTORNOS MENTALES Y ENFERMEDADES DEL SISTEMA NERVIOSO QUE COMPLICAN EL EMBARAZO, EL PARTO Y EL PUERPERIO","NO","MUJER","010A","054A","NO","NO","NO","NO","SI","NO","NO","SI","NO","SI","SI","3","NO","NO","NO","NO","XV","EMBARAZO, PARTO Y PUERPERIO","090","087","244","NO","NO","NO","SI","157","162","45","45","49","54","50","NO","NO","NO","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","NO","NO","NO","NO","NO","102","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI","10","CAUSAS OBSTÉTRICAS INDIRECTAS","102","CAUSAS OBSTÉTRICAS INDIRECTAS NO INFECCIOSAS","SI"
"7028","O","O994","4","ENFERMEDADES DEL SISTEMA CIRCULATORIO QUE COMPLICAN EL EMBARAZO, EL PARTO Y EL PURPERIO","NO","MUJER","010A","054A","NO","NO","NO","NO","SI","NO","NO","SI","NO","SI","SI","3","NO","NO","NO","NO","XV","EMBARAZO, PARTO Y PUERPERIO","090","087","244","NO","NO","NO","SI","157","162","45","45","49","54","50","NO","NO","NO","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","NO","NO","NO","NO","NO","102","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI","10","CAUSAS OBSTÉTRICAS INDIRECTAS","102","CAUSAS OBSTÉTRICAS INDIRECTAS NO INFECCIOSAS","SI"
"7029","O","O995","4","ENFERMEDADES DEL SISTEMA RESPIRATORIO QUE COMPLICAN EL EMBARAZO, EL PARTO Y EL PUERPERIO","NO","MUJER","010A","054A","NO","NO","NO","NO","SI","NO","NO","SI","NO","SI","SI","3","NO","NO","NO","NO","XV","EMBARAZO, PARTO Y PUERPERIO","090","087","244","NO","NO","NO","SI","157","162","45","45","49","54","50","NO","NO","NO","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","NO","NO","NO","NO","NO","102","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI","10","CAUSAS OBSTÉTRICAS INDIRECTAS","102","CAUSAS OBSTÉTRICAS INDIRECTAS NO INFECCIOSAS","SI"
"7030","O","O996","4","ENFERMEDADES DEL SISTEMA DIGESTIVO QUE COMPLICAN EL EMBARAZO, EL PARTO Y EL PUERPERIO","NO","MUJER","010A","054A","NO","NO","NO","NO","SI","NO","NO","SI","NO","SI","SI","3","NO","NO","NO","NO","XV","EMBARAZO, PARTO Y PUERPERIO","090","087","244","NO","NO","NO","SI","157","162","45","45","49","54","50","NO","NO","NO","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","NO","NO","NO","NO","NO","102","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI","10","CAUSAS OBSTÉTRICAS INDIRECTAS","102","CAUSAS OBSTÉTRICAS INDIRECTAS NO INFECCIOSAS","SI"
"7031","O","O997","4","ENFERMEDADES DE LA PIEL Y DEL TEJIDO SUBCUTÁNEO QUE COMPLICAN EL EMBARAZO, EL PARTO Y EL PUERPERIO","NO","MUJER","010A","054A","NO","NO","NO","NO","SI","NO","NO","SI","NO","SI","SI","3","NO","NO","NO","NO","XV","EMBARAZO, PARTO Y PUERPERIO","090","087","244","NO","NO","NO","SI","157","162","45","45","49","54","50","NO","NO","NO","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","NO","NO","NO","NO","NO","102","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI","10","CAUSAS OBSTÉTRICAS INDIRECTAS","102","CAUSAS OBSTÉTRICAS INDIRECTAS NO INFECCIOSAS","SI"
"7032","O","O998","4","OTRAS ENFERMEDADES ESPECIFICADAS Y AFECCIONES QUE COMPLICAN EL EMBARAZO, EL PARTO Y EL PUERPERIO","NO","MUJER","010A","054A","NO","NO","NO","NO","SI","NO","NO","SI","NO","SI","SI","3","NO","NO","NO","NO","XV","EMBARAZO, PARTO Y PUERPERIO","090","087","244","NO","NO","NO","SI","157","162","45","45","49","54","50","NO","NO","NO","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","NO","NO","NO","NO","NO","102","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI","10","CAUSAS OBSTÉTRICAS INDIRECTAS","102","CAUSAS OBSTÉTRICAS INDIRECTAS NO INFECCIOSAS","SI"
"7033","P","P00","3","FETO Y RECIÉN NACIDO AFECTADO POR CONDICIONES DE LA MADRE NO NECESARIAMENTE RELACIONADAS CON EL EMBARAZO PRESENTE","NO","NO","000H","011M","NO","NO","NO","NO","NO","NO","SI","NO","SI","NO","NO","NA","NO","NO","NO","NO","XVI","CIERTAS AFECCIONES ORIGINADAS EN EL PERIODO PERINATAL","092","092","245","NO","NO","NO","NO","163A","163A","NO","NO","NO","55","NO","NO","NO","NO","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","NO","NO","NO","NO","NO","0","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"7034","P","P000","4","FETO Y RECIÉN NACIDO AFECTADOS POR TRASTORNOS HIPERTENSIVOS DE LA MADRE","NO","NO","000H","011M","NO","NO","NO","NO","NO","NO","NO","SI","NO","SI","SI","3","NO","SI","SI","SI","XVI","CIERTAS AFECCIONES ORIGINADAS EN EL PERIODO PERINATAL","092","092","245","NO","NO","NO","SI","163A","163A","46A","46A","53","55","54","NO","NO","NO","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","NO","NO","NO","NO","NO","0","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI","SI","1","FETO Y RECIEN NACIDO AFECTADOS POR FACTORES MATERNOS Y POR COMPLICACIONES DEL EMBARAZO, DEL TRABAJO DE PARTO Y DEL PARTO","1A","FETO Y RECIEN NACIDO AFECTADOS POR FACTORES MATERNOS Y POR COMPLICACIONES DEL EMBARAZO, DEL TRABAJO DE PARTO Y DEL PARTO","NO","NO","NO","NO","NO","NO","NO","NO"
"7035","P","P001","4","FETO Y RECIÉN NACIDO AFECTADOS POR ENFERMEDADES RENALES Y DE LAS VÍAS URINARIAS DE LA MADRE","NO","NO","000H","011M","NO","NO","NO","NO","NO","NO","NO","SI","NO","SI","SI","3","NO","SI","SI","SI","XVI","CIERTAS AFECCIONES ORIGINADAS EN EL PERIODO PERINATAL","092","092","245","NO","NO","NO","SI","163A","163A","46A","46A","53","55","54","NO","NO","NO","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","NO","NO","NO","NO","NO","0","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI","SI","1","FETO Y RECIEN NACIDO AFECTADOS POR FACTORES MATERNOS Y POR COMPLICACIONES DEL EMBARAZO, DEL TRABAJO DE PARTO Y DEL PARTO","1A","FETO Y RECIEN NACIDO AFECTADOS POR FACTORES MATERNOS Y POR COMPLICACIONES DEL EMBARAZO, DEL TRABAJO DE PARTO Y DEL PARTO","NO","NO","NO","NO","NO","NO","NO","NO"
"7036","P","P002","4","FETO Y RECIÉN NACIDO AFECTADOS POR ENFERMEDADES INFECCIOSAS Y PARASITARIAS DE LA MADRE","NO","NO","000H","011M","NO","NO","NO","NO","NO","NO","NO","SI","NO","SI","SI","3","NO","SI","SI","SI","XVI","CIERTAS AFECCIONES ORIGINADAS EN EL PERIODO PERINATAL","092","092","245","NO","NO","NO","SI","163A","163A","46A","46A","53","55","54","NO","NO","NO","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","NO","NO","NO","NO","NO","0","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI","SI","1","FETO Y RECIEN NACIDO AFECTADOS POR FACTORES MATERNOS Y POR COMPLICACIONES DEL EMBARAZO, DEL TRABAJO DE PARTO Y DEL PARTO","1A","FETO Y RECIEN NACIDO AFECTADOS POR FACTORES MATERNOS Y POR COMPLICACIONES DEL EMBARAZO, DEL TRABAJO DE PARTO Y DEL PARTO","NO","NO","NO","NO","NO","NO","NO","NO"
"7037","P","P003","4","FETO Y RECIÉN NACIDO AFECTADOS POR OTRAS ENFERMEDADES CIRCULATORIAS Y RESPIRATORIAS DE LA MADRE","NO","NO","000H","011M","NO","NO","NO","NO","NO","NO","NO","SI","NO","SI","SI","3","NO","SI","SI","SI","XVI","CIERTAS AFECCIONES ORIGINADAS EN EL PERIODO PERINATAL","092","092","245","NO","NO","NO","SI","163A","163A","46A","46A","53","55","54","NO","NO","NO","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","NO","NO","NO","NO","NO","0","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI","SI","1","FETO Y RECIEN NACIDO AFECTADOS POR FACTORES MATERNOS Y POR COMPLICACIONES DEL EMBARAZO, DEL TRABAJO DE PARTO Y DEL PARTO","1A","FETO Y RECIEN NACIDO AFECTADOS POR FACTORES MATERNOS Y POR COMPLICACIONES DEL EMBARAZO, DEL TRABAJO DE PARTO Y DEL PARTO","NO","NO","NO","NO","NO","NO","NO","NO"
