"CONSECUTIVO","LETRA","CATALOG_KEY","NO. CARACTERES","NOMBRE","CODIGOX","LSEX","LINF","LSUP","TRIVIAL","ERRADICADO","N_INTER","NIN","NINMTOBS","COD_SIT_LESION","NO_CBD","CBD","NO_APH","AF_PRIN","DIA_SIS","CLAVE_PROGRAMA_SIS","COD_COMPLEMEN_MORBI","DIA_FETAL","DEF_FETAL_CM","DEF_FETAL_CBD","CLAVE_CAPITULO","CAPITULO","LISTA1","GRUPO1","LISTA5","RUBRICA_TYPE","YEAR_MODIFI","YEAR_APLICACION","VALID","PRINMORTA","PRINMORBI","LM_MORBI","LM_MORTA","LGBD165","LOMSBECK","LGBD190","NOTDIARIA","NOTSEMANAL","SISTEMA_ESPECIAL","BIRMM","CVE_CAUSA_TYPE","CAUSA_TYPE","EPI_MORTA","EDAS_E_IRAS_EN_M5","CVE_MATERNAS-SEED-EPID","EPI_MORTA_M5","EPI_MORBI","DEF_MATERNAS","ES_CAUSES","NUM_CAUSES","ES_SUIVE_MORTA","ES_SUIVE_MORB","EPI_CLAVE","EPI_CLAVE_DESC","ES_SUIVE_NOTIN","ES_SUIVE_EST_EPI","ES_SUIVE_EST_BROTE","SINAC","PRIN_SINAC","PRIN_SINAC_GRUPO","DESCRIPCION_SINAC_GRUPO","PRIN_SINAC_SUBGRUPO","DESCRIPCION_SINAC_SUBGRUPO","DAGA","ASTERISCO","PRIN_MM","PRIN_MM_GRUPO","DESCRIPCION_MM_GRUPO","PRIN_MM_SUBGRUPO","DESCRIPCION_MM_SUBGRUPO","COD_ADI_MORT"
"21","A","A033","4","SHIGELOSIS DEBIDA A SHIGELLA SONNEI","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI","NO","SI","SI","1","NO","NO","NO","NO","I","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS","004","001","003","NO","NO","NO","SI","001","001","01D","01D","10","1","10","NO","NO","NO","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","NO","SI","NO","SI","SI","0","NO","NO","SI","SI","05","SHIGELOSIS","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"22","A","A038","4","OTRAS SHIGELOSIS","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI","NO","SI","SI","1","NO","NO","NO","NO","I","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS","004","001","003","NO","NO","NO","SI","001","001","01D","01D","10","1","10","NO","NO","NO","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","NO","SI","NO","SI","SI","0","NO","NO","SI","SI","05","SHIGELOSIS","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"23","A","A039","4","SHIGELOSIS DE TIPO NO ESPECIFICADO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI","NO","SI","SI","1","NO","NO","NO","NO","I","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS","004","001","003","NO","NO","NO","SI","001","001","01D","01D","10","1","10","NO","NO","NO","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","NO","SI","NO","SI","SI","0","NO","NO","SI","SI","05","SHIGELOSIS","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"24","A","A04","3","OTRAS INFECCIONES INTESTINALES BACTERIANAS","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI","NO","SI","NO","NO","NA","NO","NO","NO","NO","I","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS","004","001","006","NO","NO","NO","NO","001","001","NO","NO","NO","1","NO","NO","SI","NO","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","NO","SI","NO","NO","SI","0","SI","55","NO","SI","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"25","A","A040","4","INFECCIÓN DEBIDA A ESCHERICHIA COLI ENTEROPATÓGENA","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI","NO","SI","SI","1","NO","NO","NO","NO","I","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS","004","001","006","NO","NO","NO","SI","001","001","01G","01G","10","1","10","NO","SI","NO","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","NO","SI","NO","SI","SI","0","SI","55","SI","SI","08","INFECCIONES INTESTINALES POR OTROS ORGANISMOS Y LAS MAL DEFINIDAS","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"26","A","A041","4","INFECCIÓN DEBIDA A ESCHERICHIA COLI ENTEROTOXÍGENA","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI","NO","SI","SI","1","NO","NO","NO","NO","I","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS","004","001","006","NO","NO","NO","SI","001","001","01G","01G","10","1","10","NO","SI","NO","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","NO","SI","NO","SI","SI","0","SI","55","SI","SI","08","INFECCIONES INTESTINALES POR OTROS ORGANISMOS Y LAS MAL DEFINIDAS","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"27","A","A042","4","INFECCIÓN DEBIDA A ESCHERICHIA COLI ENTEROINVASIVA","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI","NO","SI","SI","1","NO","NO","NO","NO","I","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS","004","001","006","NO","NO","NO","SI","001","001","01G","01G","10","1","10","NO","SI","NO","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","NO","SI","NO","SI","SI","0","SI","55","SI","SI","08","INFECCIONES INTESTINALES POR OTROS ORGANISMOS Y LAS MAL DEFINIDAS","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"28","A","A043","4","INFECCIÓN DEBIDA A ESCHERICHIA COLI ENTEROHEMORRÁGICA","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI","NO","SI","SI","1","NO","NO","NO","NO","I","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS","004","001","006","NO","NO","NO","SI","001","001","01G","01G","10","1","10","NO","SI","NO","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","NO","SI","NO","SI","SI","0","SI","55","SI","SI","08","INFECCIONES INTESTINALES POR OTROS ORGANISMOS Y LAS MAL DEFINIDAS","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"29","A","A044","4","OTRAS INFECCIONES INTESTINALES DEBIDAS A ESCHERICHIA COLI","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI","NO","SI","SI","1","NO","NO","NO","NO","I","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS","004","001","006","NO","NO","NO","SI","001","001","01G","01G","10","1","10","NO","SI","NO","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","NO","SI","NO","SI","SI","0","SI","55","SI","SI","08","INFECCIONES INTESTINALES POR OTROS ORGANISMOS Y LAS MAL DEFINIDAS","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"30","A","A045","4","ENTERITIS DEBIDA A CAMPYLOBACTER","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI","NO","SI","SI","1","NO","NO","NO","NO","I","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS","004","001","006","NO","NO","NO","SI","001","001","01G","01G","10","1","10","NO","SI","NO","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","NO","SI","NO","SI","SI","0","SI","55","SI","SI","08","INFECCIONES INTESTINALES POR OTROS ORGANISMOS Y LAS MAL DEFINIDAS","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"31","A","A046","4","ENTERITIS DEBIDA A YERSINIA ENTEROCOLITICA","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI","NO","SI","SI","1","NO","NO","NO","NO","I","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS","004","001","006","NO","NO","NO","SI","001","001","01G","01G","10","1","10","NO","SI","NO","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","NO","SI","NO","SI","SI","0","SI","55","SI","SI","08","INFECCIONES INTESTINALES POR OTROS ORGANISMOS Y LAS MAL DEFINIDAS","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"32","A","A047","4","ENTEROCOLITIS DEBIDA A CLOSTRIDIUM DIFFICILE","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI","NO","SI","SI","1","NO","NO","NO","NO","I","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS","004","001","006","NO","NO","NO","SI","001","001","01G","01G","10","1","10","NO","SI","NO","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","NO","SI","NO","SI","SI","0","SI","55","SI","SI","08","INFECCIONES INTESTINALES POR OTROS ORGANISMOS Y LAS MAL DEFINIDAS","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"33","A","A048","4","OTRAS INFECCIONES INTESTINALES BACTERIANAS ESPECIFICADAS","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI","NO","SI","SI","1","NO","NO","NO","NO","I","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS","004","001","006","NO","NO","NO","SI","001","001","01G","01G","10","1","10","NO","SI","NO","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","NO","SI","NO","SI","SI","0","SI","55","SI","SI","08","INFECCIONES INTESTINALES POR OTROS ORGANISMOS Y LAS MAL DEFINIDAS","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"34","A","A049","4","INFECCIÓN INTESTINAL BACTERIANA, NO ESPECIFICADA","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI","NO","SI","SI","1","NO","NO","NO","NO","I","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS","004","001","006","NO","NO","NO","SI","001","001","01G","01G","10","1","10","NO","SI","NO","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","NO","SI","NO","SI","SI","0","SI","55","SI","SI","08","INFECCIONES INTESTINALES POR OTROS ORGANISMOS Y LAS MAL DEFINIDAS","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"35","A","A05","3","OTRAS INTOXICACIONES ALIMENTARIAS BACTERIANAS, NO CLASIFICADAS EN OTRA PARTE","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI","NO","SI","NO","NO","NA","NO","NO","NO","NO","I","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS","004","001","006","C","2006 (SE AGREGO NCOP)","2006","NO","001","001","NO","NO","NO","1","NO","NO","SI","NO","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","NO","NO","NO","NO","SI","0","SI","168","NO","SI","NO","NO","NO","NO","SI","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"36","A","A050","4","INTOXICACIÓN ALIMENTARIA ESTAFILOCÓCICA","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI","NO","SI","SI","1","NO","NO","NO","NO","I","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS","004","001","006","NO","NO","NO","SI","001","001","01E","01E","10","1","10","NO","SI","NO","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","NO","SI","NO","SI","SI","0","SI","168","SI","SI","09","INTOXICACION ALIMENTARIA BACTERIANA","NO","NO","SI","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"37","A","A051","4","BOTULISMO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI","NO","SI","SI","1","NO","NO","NO","NO","I","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS","004","001","006","NO","NO","NO","SI","001","001","01E","01E","10","1","10","NO","SI","NO","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","SI","NO","NO","SI","SI","0","SI","168","SI","SI","09","INTOXICACION ALIMENTARIA BACTERIANA","NO","NO","SI","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
